Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,1578.869995,1636.030029,1571.979980,1632.209961,1632.209961,1438410000
2009-01-05,1621.479980,1640.459961,1604.630005,1628.030029,1628.030029,1816580000
2009-01-06,1642.369995,1665.630005,1636.250000,1652.380005,1652.380005,2137640000
2009-01-07,1621.630005,1625.369995,1588.199951,1599.060059,1599.060059,2020170000
2009-01-08,1590.250000,1617.010010,1584.280029,1617.010010,1617.010010,1968160000
2009-01-09,1617.050049,1617.260010,1569.869995,1571.589966,1571.589966,1907390000
2009-01-12,1573.449951,1573.459961,1528.000000,1538.790039,1538.790039,1763590000
2009-01-13,1537.420044,1557.949951,1527.469971,1546.459961,1546.459961,1965570000
2009-01-14,1521.709961,1528.650024,1485.260010,1489.640015,1489.640015,1919980000
2009-01-15,1489.459961,1521.579956,1456.719971,1511.839966,1511.839966,2507870000
2009-01-16,1532.469971,1538.819946,1490.349976,1529.329956,1529.329956,2235070000
2009-01-20,1520.760010,1521.849976,1440.859985,1440.859985,1440.859985,1989610000
2009-01-21,1466.400024,1507.520020,1444.900024,1507.069946,1507.069946,2120080000
2009-01-22,1470.849976,1492.469971,1444.079956,1465.489990,1465.489990,2286190000
2009-01-23,1440.780029,1495.270020,1434.079956,1477.290039,1477.290039,2210840000
2009-01-26,1479.979980,1514.380005,1470.810059,1489.459961,1489.459961,1815400000
2009-01-27,1494.119995,1513.209961,1488.810059,1504.900024,1504.900024,1784110000
2009-01-28,1530.479980,1568.329956,1530.030029,1558.339966,1558.339966,2122250000
2009-01-29,1537.469971,1537.839966,1505.699951,1507.839966,1507.839966,1932100000
2009-01-30,1519.459961,1523.449951,1472.510010,1476.420044,1476.420044,2054590000
2009-02-02,1460.849976,1502.719971,1460.510010,1494.430054,1494.430054,1987080000
2009-02-03,1499.589966,1521.209961,1479.420044,1516.300049,1516.300049,2049840000
2009-02-04,1517.189941,1549.640015,1508.869995,1515.050049,1515.050049,2197050000
2009-02-05,1498.589966,1554.369995,1495.520020,1546.239990,1546.239990,2511750000
2009-02-06,1547.000000,1594.260010,1545.849976,1591.709961,1591.709961,2389530000
2009-02-09,1590.739990,1598.229980,1576.099976,1591.560059,1591.560059,1906940000
2009-02-10,1578.020020,1598.500000,1520.560059,1524.729980,1524.729980,2443370000
2009-02-11,1531.579956,1542.839966,1509.349976,1530.500000,1530.500000,2236450000
2009-02-12,1510.170044,1542.510010,1495.339966,1541.709961,1541.709961,2428250000
2009-02-13,1539.719971,1552.569946,1530.050049,1534.359985,1534.359985,1990190000
2009-02-17,1489.119995,1492.819946,1467.790039,1470.660034,1470.660034,2335370000
2009-02-18,1480.650024,1487.920044,1454.459961,1467.969971,1467.969971,2029710000
2009-02-19,1478.550049,1485.140015,1442.530029,1442.819946,1442.819946,1991000000
2009-02-20,1427.030029,1454.390015,1416.959961,1441.229980,1441.229980,2526040000
2009-02-23,1452.579956,1452.579956,1386.680054,1387.719971,1387.719971,1977740000
2009-02-24,1399.369995,1445.069946,1395.109985,1441.829956,1441.829956,2339660000
2009-02-25,1428.760010,1453.660034,1404.540039,1425.430054,1425.430054,2345380000
2009-02-26,1436.849976,1444.829956,1391.469971,1391.469971,1391.469971,2301990000
2009-02-27,1376.560059,1401.969971,1372.420044,1377.839966,1377.839966,2393280000
2009-03-02,1356.130005,1372.000000,1322.130005,1322.849976,1322.849976,2033110000
2009-03-03,1341.420044,1346.880005,1312.979980,1321.010010,1321.010010,2338880000
2009-03-04,1340.380005,1370.290039,1333.880005,1353.739990,1353.739990,2305180000
2009-03-05,1332.380005,1342.859985,1298.329956,1299.589966,1299.589966,2325840000
2009-03-06,1310.589966,1320.510010,1268.540039,1293.849976,1293.849976,2443820000
2009-03-09,1284.839966,1316.150024,1265.520020,1268.640015,1268.640015,2037130000
2009-03-10,1288.949951,1358.280029,1288.949951,1358.280029,1358.280029,2359730000
2009-03-11,1364.800049,1385.290039,1352.599976,1371.640015,1371.640015,2169050000
2009-03-12,1367.780029,1427.550049,1355.050049,1426.099976,1426.099976,2392770000
